Ranking,City,Country,Lat,Lng,Avg_WiFi_Speed(Mbps),No._Co-working_Spaces,Avg_Coffee($),Avg_Taxi($/km),Avg_Beer($/2),Avg_Rent_1BR($/mo),Avg_Restaurant($),Avg_Sunshine(hr/yr),No.TripAdvisor_Attractions,No.Instagram_#Photos,Air_Quality,Water_Pollution
44,Vienna,Austria,48.2083537,16.3725042,42,91,3.06,1.31,7.41,820.01,10.18,1930,1149,14453386,82.70547945,10.14492754
45,New York,United States,40.7127281,-74.0060152,37,272,3.78,1.46,11.49,2358.66,15.64,2535,10269,113711319,,
46,Medellin,Colombia,6.2443382,-75.573553,9,41,1.0,0.74,1.63,202.6,3.06,1892,546,30904265,23.9010989,38.23529412
47,Malaga,Spain,36.7213028,-4.4216366,26,17,1.38,0.79,4.63,631.18,9.28,3365,525,6992731,75.0,30.55555556
48,Dubai,United Arab Emirates,25.074282349999997,55.18853865430702,15,115,3.98,0.47,19.16,1162.0,7.45,3885,1615,110962610,48.87387387,39.84615385
49,Kathmandu,Nepal,27.708317,85.3205817,7,10,1.23,0.52,3.93,114.63,1.8,2529,1723,1684647,11.46341463,80.45685279
50,Houston,United States,29.7589382,-95.3676974,60,62,3.04,1.12,7.82,1089.18,11.73,2578,589,27197101,45.86092715,57.09459459
51,Seville,Spain,37.3886303,-5.9953403,28,7,1.31,0.87,3.69,609.61,8.32,2898,932,1755465,57.14285714,23.80952381
52,Miami,United States,25.7741728,-80.19362,40,59,3.53,1.26,9.38,1521.41,12.51,3154,762,80497499,70.2020202,47.36842105
53,Sydney,Australia,-33.8698439,151.2082848,28,93,2.32,1.36,9.21,1518.53,10.36,2636,1343,33859310,75.88996764,28.54785479
54,Johannesburg,South Africa,-26.205,28.049722,12,49,1.54,0.65,3.26,356.56,6.52,3124,390,2999098,42.75956284,57.36111111
55,Melbourne,Australia,-37.8142176,144.9631608,21,127,2.54,0.94,11.71,1004.75,11.71,2636,1242,33945108,79.07303371,28.2234957
56,Taipei,Taiwan,25.0375198,121.5636796,19,60,2.54,0.7,3.35,566.48,3.35,1405,1031,14321522,52.47933884,44.87179487
57,Rome,Italy,41.8933203,12.4829321,17,50,1.16,1.11,9.25,893.75,13.87,2473,3444,27665299,,
58,Faro,Portugal,37.0162727,-7.9351771,70,1,1.71,0.92,4.61,553.56,8.07,3036,167,1705160,79.16666667,25.0
59,Osaka,Japan,34.661629000000005,135.49992679245517,26,47,2.53,2.83,3.18,674.55,5.66,1996,790,16057725,51.47058824,55.35714286
60,Athens,Greece,37.9839412,23.7283052,12,29,2.63,0.7,7.43,378.38,9.28,2773,1149,10176728,44.17412141,30.31561462
61,Phnom Penh,Cambodia,11.568271,104.9224426,8,27,1.84,0.78,1.17,367.16,2.34,3197,522,1196625,26.06382979,70.83333333
62,Beijing,China,39.906217,116.3912757,2,69,3.5,0.28,2.41,847.96,3.93,2671,1408,7286155,21.36627907,70.78313253
63,Phoenix,United States,33.4484367,-112.074141,44,35,3.61,1.09,7.8,1017.65,11.71,3872,389,9833747,44.29347826,47.64705882
64,Lima,Peru,-12.0621065,-77.0365256,16,67,1.88,1.18,3.15,399.02,2.56,1230,855,10148526,19.75,76.04166667
65,Montreal,Canada,45.5031824,-73.5698065,27,60,2.57,1.1,7.54,801.21,9.42,2051,793,18833685,70.76023392,36.96319018
66,Warsaw,Poland,52.2319581,21.0067249,23,54,2.43,0.61,4.26,667.12,6.07,1571,829,11966096,27.27272727,36.01485149
67,Minsk,Belarus,53.9024716,27.5618225,23,5,1.18,0.16,2.43,319.26,6.07,1780,352,11083815,60.9223301,41.40625
68,Cartagena,Colombia,10.3932,75.4832,11,9,0.91,1.47,3.61,405.38,2.25,3019,504,18939652,65.625,25.0
69,Paris,France,48.8534951,2.3483915,30,136,3.44,1.39,11.56,1145.0,13.87,1662,4265,130025724,34.02439024,43.12169312
70,Toronto,Canada,43.6534817,-79.3839347,26,113,2.86,1.25,8.75,1233.72,12.51,2066,1048,50157783,65.53468208,37.7994012
71,Ljubljana,Slovenia,46.0500268,14.5069289,61,8,1.57,0.92,4.82,573.05,9.28,1974,422,1737701,72.16494845,17.58241758
72,Quito,Ecuador,-0.2201641,-78.5123274,12,35,1.86,1.17,3.11,373.41,2.92,2238,493,8411766,35.86956522,53.07692308
73,Florence,Italy,43.7698712,11.2555757,18,13,1.22,0.92,9.28,706.54,13.91,2924,1377,10392587,52.67857143,36.0
74,Oaxaca,Mexico,17.0,-96.5,16,7,1.77,0.96,1.59,269.22,3.54,2896,294,4727625,,
75,Liverpool,United Kingdom,53.4071991,-2.99168,26,17,2.89,1.01,3.8,705.06,13.03,2199,1050,14834860,71.66666667,20.0
76,New Orleans,United States,29.9759983,-90.0782127,45,16,3.53,1.67,5.45,1088.88,13.59,2649,1016,11614267,65.13157895,72.85714286
77,Washington DC,United States,38.8950368,-77.0365427,68,59,3.58,2.03,9.34,1810.16,11.68,2528,778,10770923,,
77,Tallinn,Estonia,59.4372155,24.7453688,37,14,2.64,0.55,7.41,506.67,9.25,1923,490,2861931,81.8877551,18.61702128
79,Zagreb,Croatia,45.84264135,15.962231476593626,25,12,1.41,0.62,3.69,442.76,6.16,1913,520,3480120,69.7740113,26.59883721
80,Xi'an,China,34.2607713,108.9423443,16,4,3.61,0.24,1.19,254.68,2.41,3406,242,573692,5.952380952,72.05882353
81,Yangon,Burma/Myanmar,16.7967129,96.1609916,10,22,1.75,0.78,1.56,645.17,2.76,3156,478,986024,17.59259259,78.5
82,Kyoto,Japan,35.021041,135.7556075,29,9,3.31,1.29,5.17,664.94,5.66,1775,1533,17684174,64.77272727,28.33333333
83,Hamburg,Germany,53.550341,10.000654,41,65,2.67,1.77,7.89,878.8,11.13,1557,688,20155361,70.76271186,24.50980392
84,Naples,Italy,40.8358846,14.2487679,19,7,1.28,0.94,5.56,597.39,9.28,2375,1045,8865857,28.84615385,55.31914894
85,Vancouver,Canada,49.2608724,-123.113952,40,43,2.82,1.17,8.75,1267.3,12.51,1938,729,24259344,80.56930693,31.66666667
86,Milan,Italy,45.4641943,9.1896346,17,87,1.5,1.25,8.95,1007.15,13.91,1915,1543,21733273,24.39759036,39.49044586
87,Arequipa,Peru,-16.0,-72.25,9,4,1.51,0.99,3.08,178.59,1.99,3333,211,1571080,18.33333333,88.33333333
88,Montevideo,Uruguay,-34.9058916,-56.1913095,25,10,2.11,0.89,4.26,343.84,7.64,2481,326,3050401,65.78947368,46.75324675
89,Portland,United States,45.5202471,-122.674194,44,31,3.3,1.26,9.34,1250.33,12.46,2341,741,12325674,74.12280702,36.34259259
90,Split,Croatia,43.5116383,16.4399659,20,6,1.48,1.23,4.93,391.42,8.62,2631,550,4249722,71.71052632,30.0
91,Pokhara,Nepal,28.209538,83.991402,9,3,0.9,0.49,3.93,90.17,1.48,2573,344,741567,65.47619048,71.42857143
92,Cancun,Mexico,21.1619,-86.8515,7,9,1.72,2.35,3.13,345.44,6.26,2525,912,10005189,75.0,55.0
93,Brussels,Belgium,50.8465573,4.351697,37,66,2.82,1.8,7.43,786.74,13.91,1546,747,7074355,35.81081081,44.76190476
94,Shanghai,China,31.2322758,121.4692071,2,119,3.19,0.35,2.41,1042.03,3.62,1776,975,10969967,25.0,67.58474576
95,Dublin,Ireland,53.3498006,-6.2602964,61,46,3.13,1.39,10.21,1560.78,13.91,1453,1243,12936240,67.02380952,39.70588235
96,Riga,Latvia,56.9493977,24.1051846,23,20,2.39,0.65,5.54,408.95,7.4,1754,540,3604009,62.5,31.95652174
97,Lyon,France,45.7578137,4.8320114,36,21,2.88,1.64,5.69,647.73,11.83,2002,502,9144123,,
98,Palma de Mallorca,Spain,39.5695818,2.6500745,29,15,1.97,0.9,4.63,800.41,13.87,2763,446,2370407,,
99,Brisbane,Australia,-27.4689682,153.0234991,22,37,2.7,1.27,9.36,1009.49,11.71,2968,668,11948455,83.06878307,30.46448087
100,Auckland,New Zealand,-36.852095,174.7631803,34,30,2.79,1.43,10.93,1047.19,10.93,2003,1099,5385894,78.52348993,41.66666667
101,Vilnius,Lithuania,54.6870458,25.2829111,25,22,2.2,0.55,5.93,484.39,7.4,1691,457,3414796,77.24719101,20.58823529
101,London,United Kingdom,51.5073359,-0.12765,22,318,3.2,1.85,10.86,1805.37,16.29,1633,4983,150702588,37.04225352,40.71637427
103,Stockholm,Sweden,59.3251172,18.0710935,37,50,3.64,1.23,12.73,1253.44,10.92,1803,557,13630429,83.20610687,15.0390625
104,Manila,Philippines,14.5948914,120.9782618,8,29,1.92,0.21,2.65,536.31,3.12,2103,161,5381518,17.01570681,83.7431694
105,Honolulu,Hawaii,21.304547,-157.855676,43,8,4.4,1.6,9.36,1485.97,11.71,3036,946,4898654,74.58333333,41.51785714
105,Munich,Germany,48.1371079,11.5753822,31,87,2.93,1.86,7.43,1211.63,12.98,1709,735,12132597,74.41860465,15.46610169
107,Boston,United States,42.3554334,-71.060511,33,41,3.48,1.46,10.95,2038.95,15.64,2634,653,23846477,78.23529412,32.91139241
108,Calgary,Canada,51.0460954,-114.065465,24,34,2.65,1.26,8.8,784.51,11.3,2396,540,7317582,80.0,24.8502994
109,Perth,Australia,-31.9558964,115.8605801,19,29,2.66,0.99,10.36,873.05,11.51,3230,416,10684382,82.98755187,28.0720339
110,Marseille,France,43.2961743,5.3699525,24,11,2.49,1.4,11.12,558.99,12.06,2858,488,8058438,29.44444444,52.43902439
111,Cologne,Germany,50.938361,6.959974,33,38,2.54,1.86,7.43,772.87,8.81,1504,465,7660853,60.71428571,27.77777778
112,Amsterdam,Netherlands,52.3730796,4.8924534,22,99,3.1,2.18,9.28,1430.17,13.91,1662,1782,33774833,,
113,Hvar,Croatia,43.17389195,16.55652349457852,19,0,1.71,0.92,9.28,194.76,13.91,3535,85,880583,75.0,25.0
114,Dusseldorf,Germany,51.2254018,6.7763137,25,44,2.81,2.04,7.43,744.91,9.28,2359,312,7242509,,
115,San Jose,Costa Rica,9.9281,-84.0907,10,17,1.87,0.81,3.78,452.99,5.66,2081,305,5084798,57.43243243,46.09375
116,Abu Dhabi,United Arab Emirates,24.4538352,54.3774014,9,32,3.78,0.42,17.03,968.18,6.39,3509,317,31532015,55.98290598,37.99019608
117,Helsinki,Finland,60.1674881,24.9427473,36,22,3.67,0.92,11.12,934.87,12.06,1858,624,7238202,89.88095238,15.49586777
118,Adelaide,Australia,-34.9281805,138.5999312,18,17,2.54,1.17,6.91,850.81,9.37,2765,458,6427748,88.84803922,24.60526316
119,Bordeaux,France,44.841225,-0.5800364,20,14,2.9,1.54,11.12,653.52,12.06,2713,560,7924124,68.47826087,42.64705882
120,Frankfurt,Germany,50.1106444,8.6820917,22,66,2.7,1.86,7.43,971.58,9.28,1586,497,11611541,63.39285714,25.98039216
121,Vientiane,Laos,17.9640988,102.6133707,5,3,1.78,1.55,1.78,397.59,2.73,3250,104,409470,23.48484848,73.33333333
122,Stuttgart,Germany,48.7784485,9.1800132,33,25,2.73,1.57,7.41,869.78,11.1,1692,250,9950961,43.125,24.28571429
123,Hannover,Germany,52.3744779,9.7385532,38,7,2.45,1.86,6.49,571.31,9.28,1501,177,4633789,,
124,Copenhagen,Denmark,55.6867243,12.5700724,46,26,4.84,1.5,12.47,1280.44,16.2,1803,772,10101675,,
125,Edmonton,Canada,53.5462055,-113.491241,30,10,2.92,1.13,7.54,739.95,12.56,2345,294,4765517,72.03703704,27.46212121
126,Dresden,Germany,51.0493286,13.7381437,35,5,2.22,2.03,6.45,486.15,9.22,1581,303,3640354,75.0,7.894736842
126,Manchester,United Kingdom,53.4794892,-2.2451148,33,38,3.05,1.33,8.69,922.35,16.29,1416,458,16470240,52.0,37.77777778
128,Rotterdam,Netherlands,51.9244424,4.47775,37,31,2.74,1.86,7.39,1103.59,13.84,1745,323,6749161,,
129,St. Petersburg,Russia,59.9343,30.3351,21,4,2.62,1.09,6.23,1081.09,9.73,1636,3218,3030245,,
130,La Paz,Bolivia,-16.4955455,-68.1336229,6,7,2.07,1.24,3.63,280.09,2.83,2289,211,1451813,27.94117647,79.54545455
131,Doha,Qatar,25.2856329,51.5264162,12,13,3.68,0.43,19.33,1215.83,6.44,3897,203,22179935,37.87313433,46.16935484
132,Ottawa,Canada,45.4208777,-75.6901106,26,24,2.81,1.25,8.75,1007.98,12.51,2084,435,6914271,84.56375839,27.99295775
133,Tel Aviv,Israel,32.0852997,34.7818064,14,28,3.28,0.96,14.42,1246.98,15.62,3311,757,6474622,,
134,Edinburgh,United Kingdom,55.9533456,-3.1883749,26,23,3.0,1.54,9.23,877.93,16.29,1427,1163,9582024,75.81967213,12.5
135,Dakar,Senegal,14.693425,-17.447938,6,6,2.17,1.41,1.78,546.24,4.25,3078,70,2108284,10.34482759,82.0
136,Dubrovnik,Croatia,42.64873625,18.094680152605108,19,0,2.74,1.29,9.91,628.32,12.98,3322,468,2556696,87.5,40.0
137,Muscat,Oman,23.5882019,58.3829448,8,7,3.77,0.55,16.25,486.69,5.07,3493,219,3433459,65.57377049,31.73076923
138,Oslo,Norway,59.9133301,10.7389701,49,33,3.93,1.26,16.23,1198.14,16.19,1668,444,8115873,74.75728155,14.17525773
139,Glasgow,United Kingdom,55.8606182,-4.2497933,26,16,3.01,1.15,7.6,707.3,16.29,1203,682,7250566,64.90384615,19.44444444
140,Belfast,United Kingdom,54.596391,-5.9301829,26,13,2.98,1.16,9.77,656.99,13.01,1868,483,3389741,76.35135135,22.72727273
141,Kuwait City,Kuwait,29.3796532,47.9734174,7,4,3.87,1.5,5.19,698.46,5.2,3940,132,4133614,35.13513514,56.89655172
142,Salzburg,Austria,47.7981346,13.0464806,30,7,2.91,1.79,7.21,712.19,11.56,1697,290,3108680,82.69230769,38.88888889
143,Beirut,Lebanon,33.88922645,35.50255852895232,4,18,6.63,1.11,10.32,798.84,20.74,3534,188,10239115,16.96428571,81.80379747
144,Zurich,Switzerland,47.3744489,8.5410422,33,42,4.31,3.26,12.01,1674.19,21.46,1566,485,6904776,83.80952381,10.71428571
145,Geneva,Switzerland,46.2017559,6.1466014,36,23,3.82,2.65,13.66,1700.24,21.36,1828,300,4329235,71.53846154,17.37288136
146,Valletta,Malta,35.8989818,14.5136759,10,1,2.53,2.77,6.63,967.7,18.5,3054,144,764698,31.94444444,56.57894737
147,Reykjavik,Iceland,64.145981,-21.9422367,26,9,3.65,2.2,15.08,1271.39,15.71,1326,629,2057729,86.68478261,5.113636364
